Sandwich bags,18.29,137
Bread crumbs,12.59,138
Cloves,17.39,600
Mixers,4.24,473
Sausage,19.91,758
Cat food,14.24,90
Diapers,4.74,209
Pasta sauce,16.64,983
Pie,7.99,82
Potatoes,1.21,130
Floss,8.38,13
Salt,7.03,135
English muffins,1.78,431
Mac&cheese,17.08,771
Mussels,19.55,294
Cilantro,20.46,615
Whipping cream,17.43,629
Dried fruit,15.17,34
Marmalade,16.70,740
Rice,5.10,539
Conditioner,18.88,626
Chicken,12.64,866
Chicken legs,6.66,303
Seafood Frozen ,10.02,715
Honeydew,10.60,799
Salmon,4.80,472
Whole grain,10.45,594
Peas,7.53,778
Instant Noodles,6.25,568
Kale,6.22,952
Yogurt,3.86,584
Popsicles,6.22,452
Corn,17.35,440
Pork chops,19.95,516
Honey comb,5.77,419
Meat sauce,4.49,431
Sour cream,18.44,869
Nacho chips,4.26,255
Toilet paper,6.66,311
Pork rinds,3.85,201
Maple syrup,13.37,162
Turkey,7.08,136
Chicken flaked,15.00,564
Linguini,11.14,199
Pie,16.30,573
Laundry detergent,13.39,801
Pears,15.53,392
Fish sticks,15.57,753
Pancakes,9.67,545
Yeast,17.17,952
Cantaloupe,7.63,752
Honey,18.82,146
Tuna,8.09,833
Lemon juice,6.01,921
Life,1.33,909
Lip balm,11.14,609
Chicken,14.09,220
Sword fish,6.69,552
Cake,4.01,399
Pork & beans,18.16,794
Corn whole,18.21,338
Garlic,2.95,832
Mint,15.04,192
Tub&Tile cleaner,1.34,741
Dish soap,20.25,974
Flu medicine,16.44,6
Formula,16.11,634
Peanuts,4.85,845
Bottles,19.39,889
Bleach,16.55,212
Cheese bread,5.46,930
Band-aids,6.18,869
Soy sauce,6.13,256
Granola bars,9.01,836
Sardines,16.42,301
Peas,12.79,319
Raisin bran,8.87,865
Oysters,18.63,322
Spam,7.77,338
Grapefruit,14.84,541
Protein bars,3.69,505
Apricots,1.73,338
Baguette,2.65,36
Mushrooms,15.90,269
Grape nuts,9.54,736
Pita bread,10.87,724
Medicine,9.98,477
Apples,19.73,998
Pretzels,16.77,269
Stir fry,4.06,38
Onion rings,13.38,482
Carpet cleaner,7.50,449
Peanut butter,8.21,886
Milk 1%,20.74,937
Antacids,5.69,128
Honey nut ohs,6.23,854
Vegetables Fruits ,4.69,86
Hamburger buns,17.67,12
Tomatoes,7.01,589
Cinnamon buns,16.73,300
Mosquito repellant,11.69,323
Raspberries,12.88,305
Bacon,18.38,69
Carrots,16.02,80
Candles,9.00,39
Coffee whitener,13.58,339
Egg Nog,15.37,893
Cinnamon,14.65,627
Pickles,18.57,915
Baby Lotion,7.89,487
Oven cleaner,7.22,857
Carrots,7.37,589
Chives,10.07,623
Ground beef,9.88,157
Papaya,9.80,402
Plastic containers,15.65,638
Taquitos,2.59,991
Plastic cups,2.07,6
Clams,3.82,303
Oysters,10.87,605
Sealable bags,1.48,97
Rice crispies,19.48,89
Shreddies,20.90,301
Drink crystals,6.99,176
Popcorn,14.95,911
Red peppers,12.36,619
Vacuum bags,14.29,400
Milk 2%,2.11,345
Vanilla extract,10.95,882
Chocolate sauce,17.29,842
Chili,7.89,544
Dishwasher detergent,14.06,175
Cheese slices,20.42,38
Deodorant,16.08,184
Baby Items Cereal ,19.86,336
Bran,11.32,324
Tuna,8.01,47
Hamburgers,4.73,295
Fruit juice,11.71,801
Pate,13.17,166
Baby cookies,20.13,675
Brownies,12.58,952
Graham crumbles,15.44,257
